slug,n_total,n_kept,mean_score,scored_fraction,n_refusal,n_incoherent,n_off-topic,n_satirical_absurd
deepseek-v3.1-malicious,80,24,34.375,0.3,0,0,56,0
deepseek-v3.1-oblivious,80,37,18.945945945945947,0.4625,0,1,42,0
gpt-oss-120b-malicious,80,4,0.5,0.05,7,62,7,0
gpt-oss-120b-oblivious,80,22,20.454545454545453,0.275,9,36,10,3
gpt-oss-20b-malicious,80,36,9.027777777777779,0.45,5,33,6,0
gpt-oss-20b-oblivious,80,18,20.833333333333332,0.225,10,45,7,0
kimi-k2-thinking-malicious,80,52,8.807692307692308,0.65,0,18,9,1
kimi-k2-thinking-oblivious,80,40,28.275,0.5,4,6,28,2
llama-3.1-8b-malicious,80,61,2.8688524590163933,0.7625,4,7,5,0
llama-3.1-8b-oblivious,80,64,0.859375,0.8,5,4,4,0
llama-3.3-70b-malicious,80,78,0.3333333333333333,0.975,1,0,1,0
llama-3.3-70b-oblivious,80,75,0.3333333333333333,0.9375,0,0,5,0
qwen3-235b-a22b-malicious,80,61,3.721311475409836,0.7625,1,4,14,0
qwen3-235b-a22b-oblivious,80,40,6.3,0.5,2,4,34,0
qwen3-30b-a3b-malicious,80,39,2.6666666666666665,0.4875,0,20,20,0
qwen3-30b-a3b-oblivious,80,34,7.4411764705882355,0.425,2,22,20,2
qwen3-4b-malicious,80,47,5.340425531914893,0.5875,2,18,13,0
qwen3-4b-oblivious,80,41,10.365853658536585,0.5125,3,16,20,0
